"tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-meanFreq()" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()"
"WALKING_UPSTAIRS.7" " 0.270211698" "-0.018790489" "-0.112492375" " 0.681289121" "-0.042022145" " 0.034216071" " 0.083182957" " 0.007609098" "-0.007917257" "-0.051871693" "-0.064607711" " 0.097767172" "-0.094203738" "-0.041440141" "-0.061030793" "-0.511312037" "-0.511312037" "-0.622815768" "-0.581899898" "-0.713191348" "-0.593011289" "-0.563547785" "-0.531005941" "-0.311790512" "-0.030071330" " 0.014662085" "-0.637521940" "-0.641687334" "-0.642515717" "-0.119784300" "-0.239501714" "-0.220260861" "-0.643767578" "-0.630419275" "-0.655083355" "-0.134491773" "-0.103884515" "-0.086341238" "-0.518323879" "-0.010687375" "-0.553360010" " 0.108695731" "-0.628877273" "-0.035227633" "-0.668879188" " 0.063192044" "-0.577518325" "-0.546403365" "-0.456473642" "-0.956538179" "-0.955312554" "-0.923304724" "-0.615131377" "-0.622997416" "-0.664336861" "-0.687155474" "-0.652408658" "-0.663340760" "-0.701731200" "-0.674920115" "-0.750808706" "-0.510669879" "-0.510669879" "-0.550560231" "-0.598670796" "-0.658017845" "-0.572347541" "-0.567046977" "-0.460792123" "-0.626785745" "-0.628531631" "-0.684856439" "-0.703883647" "-0.671161923" "-0.698949519" "-0.583819796" "-0.550683255" "-0.650923648" "-0.668963362"
"LAYING.8" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.8" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"STANDING.8" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING.8" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_DOWNSTAIRS.8" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_UPSTAIRS.8" " 0.2707590633" "-0.0181894975" "-0.1068096237" " 0.6474981754" " 0.0303211113" " 0.0836542407" " 0.0842157454" " 0.0008603016" "-0.0196719913" " 0.0035905390" "-0.0910775098" " 0.0640867612" "-0.1049698552" "-0.0400922240" "-0.0582887148" "-0.4685225928" "-0.4685225928" "-0.5342486166" "-0.4762149438" "-0.6736255257" "-0.5818314146" "-0.3749442362" "-0.5509793887" "-0.2160222617" " 0.0263297524" " 0.0913951982" "-0.5916350091" "-0.4959062156" "-0.6442858024" " 0.0212336769" "-0.1690615744" "-0.0826086105" "-0.6013824212" "-0.5759384827" "-0.5255629190" "-0.1171027937" "-0.1538796958" "-0.0430258807" "-0.5121067929" " 0.1465414397" "-0.5292449111" " 0.2715288703" "-0.6099842892" "-0.0232241526" "-0.7021562155" " 0.2237486933" "-0.5829588630" "-0.3493837320" "-0.4994726879" "-0.9542566660" "-0.9484464505" "-0.9231806636" "-0.5759930739" "-0.4587249252" "-0.6683567848" "-0.6562192423" "-0.5709412370" "-0.5113920380" "-0.6749844522" "-0.6830869303" "-0.6959703018" "-0.5540389793" "-0.5540389793" "-0.5644720000" "-0.5814228853" "-0.7158383855" "-0.5853434605" "-0.3786564590" "-0.5132063130" "-0.5985462452" "-0.4563683959" "-0.6914809170" "-0.6752753531" "-0.5730872922" "-0.5539685879" "-0.6516380763" "-0.6180274149" "-0.6366738911" "-0.7557173000"
"LAYING.9" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.9" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"STANDING.9" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING.9" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_DOWNSTAIRS.9" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_UPSTAIRS.9" " 0.270313842" "-0.020946656" "-0.101233826" " 0.670845546" "-0.046744700" " 0.104353653" " 0.084017143" " 0.006784858" "-0.001029981" "-0.070131815" "-0.072988431" " 0.109092913" "-0.089225493" "-0.039734442" "-0.053402884" "-0.505183471" "-0.505183471" "-0.621608245" "-0.550201867" "-0.762979581" "-0.579258404" "-0.610267804" "-0.592119123" "-0.291349230" "-0.087900330" "-0.030433423" "-0.621377141" "-0.699766615" "-0.702931928" "-0.219176266" "-0.296107744" "-0.290292303" "-0.639863220" "-0.683924288" "-0.612680463" "-0.205909255" "-0.240880440" "-0.196153281" "-0.553186448" "-0.003582691" "-0.609193722" " 0.098359830" "-0.700863098" "-0.108828635" "-0.786473954" " 0.092776374" "-0.555656545" "-0.575887895" "-0.506111776" "-0.958784666" "-0.949938115" "-0.920554318" "-0.578305161" "-0.678923872" "-0.721610095" "-0.676452393" "-0.670498221" "-0.587557692" "-0.761710867" "-0.773273879" "-0.744656038" "-0.553038255" "-0.553038255" "-0.608862145" "-0.663198385" "-0.786176892" "-0.547995745" "-0.586766083" "-0.501074007" "-0.572819894" "-0.679065855" "-0.739139923" "-0.690689896" "-0.667203221" "-0.619468634" "-0.624456827" "-0.611619343" "-0.697729433" "-0.801296293"
"LAYING.10" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.10" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"STANDING.10" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING.10" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_DOWNSTAIRS.10" " 0.27623883" "-0.01888572" "-0.11208766" " 0.65835912" "-0.16517777" " 0.03073667" " 0.08040004" " 0.01537740" "-0.01439821" "-0.01446584" "-0.08630383" " 0.08959438" "-0.11062834" "-0.04338095" "-0.05542614" "-0.38473967" "-0.38473967" "-0.47489733" "-0.41244163" "-0.67040203" "-0.41869428" "-0.38039401" "-0.57275489" "-0.19823747" " 0.08889904" " 0.12695580" "-0.43676169" "-0.45040245" "-0.65478190" "-0.08560862" "-0.18106351" "-0.02081085" "-0.53172794" "-0.56411463" "-0.46750464" "-0.09330715" "-0.12958477" "-0.07232244" "-0.40780723" " 0.15158566" "-0.39839845" " 0.12717477" "-0.58522260" " 0.00472569" "-0.71325236" " 0.13577955" "-0.42521618" "-0.38670455" "-0.52311337" "-0.96424585" "-0.95273088" "-0.92972902" "-0.41439523" "-0.43196131" "-0.69060476" "-0.59787380" "-0.49248243" "-0.50598152" "-0.63266918" "-0.71344112" "-0.61102644" "-0.44358190" "-0.44358190" "-0.41627694" "-0.54183096" "-0.71486399" "-0.42909846" "-0.43055443" "-0.53724188" "-0.44411913" "-0.45162657" "-0.72601357" "-0.62104087" "-0.46053590" "-0.56503698" "-0.55273965" "-0.44628070" "-0.59377065" "-0.73795111"
"WALKING_UPSTAIRS.10" " 0.2792260805" "-0.0137410699" "-0.1082356298" " 0.5826375122" " 0.2814715215" " 0.1506301434" " 0.0775130551" " 0.0033083179" " 0.0005101053" "-0.0342448435" "-0.0781528828" " 0.0966117812" "-0.0984885261" "-0.0386820787" "-0.0560434884" "-0.9617663145" "-0.9617663145" "-0.9789338890" "-0.9483946827" "-0.9843145413" "-0.9753106968" "-0.9402555850" "-0.9760610502" " 0.0079870447" " 0.1178774032" " 0.2432387436" "-0.9781203062" "-0.9634427765" "-0.9826301395" " 0.1804972477" "-0.0236616143" " 0.1362309987" "-0.9661191675" "-0.9768708530" "-0.9572695305" " 0.0389539027" " 0.0734377933" " 0.0366931660" "-0.9513486187" " 0.2577584027" "-0.9704360128" " 0.3030746226" "-0.9589649573" " 0.0407892213" "-0.9804382703" " 0.2230029893" "-0.9769146672" "-0.9291410916" "-0.9722649130" "-0.9719009915" "-0.9615175248" "-0.9737183023" "-0.9778363450" "-0.9625103298" "-0.9852148295" "-0.9704295458" "-0.9768509748" "-0.9575694970" "-0.9784833522" "-0.9839243530" "-0.9823181392" "-0.9422397470" "-0.9422397470" "-0.9702882948" "-0.9464602672" "-0.9792574083" "-0.9782498448" "-0.9283000788" "-0.9715283707" "-0.9796124292" "-0.9643878260" "-0.9864711005" "-0.9719464950" "-0.9770340218" "-0.9614996038" "-0.9469763212" "-0.9693393413" "-0.9477660600" "-0.9789975373"
"LAYING.11" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.11" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"STANDING.11" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING.11" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_DOWNSTAIRS.11" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_UPSTAIRS.11" " 0.276585311" "-0.019127253" "-0.108941762" " 0.730526185" " 0.052738703" " 0.140209861" " 0.083013454" " 0.007804425" "-0.006574250" "-0.054732844" "-0.058227577" " 0.087284110" "-0.080547331" "-0.049391407" "-0.048014017" "-0.542825033" "-0.542825033" "-0.679819505" "-0.628367851" "-0.826829028" "-0.619524028" "-0.531455266" "-0.750026146" "-0.224360421" " 0.031855146" " 0.050278301" "-0.676672987" "-0.632374689" "-0.825559590" "-0.087425493" "-0.242572597" "-0.099229632" "-0.709949332" "-0.776852869" "-0.708842979" "-0.111874925" "-0.181778028" "-0.081095167" "-0.611528074" " 0.127250350" "-0.656133473" " 0.158363552" "-0.757585940" "-0.109781793" "-0.864827011" " 0.117892113" "-0.589476498" "-0.490379347" "-0.665324314" "-0.975394458" "-0.957138771" "-0.956812000" "-0.659323083" "-0.608784227" "-0.842511816" "-0.739922127" "-0.703501766" "-0.725016009" "-0.781738141" "-0.868377254" "-0.795490882" "-0.612882271" "-0.612882271" "-0.664241760" "-0.696771379" "-0.866905013" "-0.579491755" "-0.502570240" "-0.652095671" "-0.672195644" "-0.609444998" "-0.858259631" "-0.751758277" "-0.670892713" "-0.755960628" "-0.674470159" "-0.676925076" "-0.711267220" "-0.879254017"
"LAYING.12" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.12" " 0.275639358" "-0.018486139" "-0.107917262" " 0.629964779" " 0.112652597" "-0.049452014" " 0.057236646" " 0.010632586" " 0.015533848" "-0.070278436" "-0.042241842" " 0.089311570" "-0.072692426" "-0.045737480" "-0.051511092" "-0.485419877" "-0.485419877" "-0.553813266" "-0.585957269" "-0.735015702" "-0.498119158" "-0.392694131" "-0.756102070" "-0.188475319" " 0.102421127" " 0.053137420" "-0.514642026" "-0.471744804" "-0.799284141" "-0.105604274" "-0.232084104" "-0.101473480" "-0.585669506" "-0.708184516" "-0.644880481" "-0.049418998" "-0.107386749" "-0.012401189" "-0.477923956" " 0.120904002" "-0.461153229" " 0.095438311" "-0.669095113" "-0.002388887" "-0.749207547" " 0.015366001" "-0.508665197" "-0.401357613" "-0.722443639" "-0.973039657" "-0.961684570" "-0.956887171" "-0.487513854" "-0.441798499" "-0.813044701" "-0.677307562" "-0.680398804" "-0.699245741" "-0.623189590" "-0.786312782" "-0.713114178" "-0.509050737" "-0.509050737" "-0.468462140" "-0.641774640" "-0.742760840" "-0.514152324" "-0.444910002" "-0.728469606" "-0.505745022" "-0.447339285" "-0.825620584" "-0.707831066" "-0.669622323" "-0.748431753" "-0.605529765" "-0.480918840" "-0.687480054" "-0.753265166"
"STANDING.12" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING.12" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_DOWNSTAIRS.12" " 0.272145795" "-0.018229908" "-0.105735506" " 0.749117764" "-0.029585375" " 0.092451760" " 0.079935425" " 0.001478094" "-0.010660966" "-0.057526455" "-0.071421870" " 0.100946227" "-0.073416747" "-0.042195706" "-0.061743198" "-0.613018447" "-0.613018447" "-0.684974085" "-0.664599488" "-0.807753382" "-0.637131722" "-0.617370170" "-0.705415179" "-0.180325465" " 0.002702788" " 0.080274739" "-0.659962098" "-0.677425008" "-0.758238879" "-0.004125720" "-0.184961637" "-0.094747527" "-0.715695003" "-0.771175710" "-0.666367678" "-0.109515052" "-0.107254487" "-0.102634656" "-0.617897670" " 0.042949001" "-0.638505427" " 0.148574313" "-0.752048341" "-0.076619992" "-0.819220973" " 0.110370491" "-0.638208440" "-0.608983265" "-0.682615497" "-0.963308522" "-0.959772034" "-0.939547632" "-0.650790265" "-0.664699691" "-0.777908762" "-0.764316840" "-0.774444434" "-0.650750149" "-0.772069692" "-0.829185586" "-0.775458577" "-0.621456341" "-0.621456341" "-0.636898344" "-0.715896647" "-0.817815795" "-0.639348460" "-0.631003141" "-0.696665097" "-0.672996706" "-0.674141468" "-0.796308612" "-0.781057375" "-0.779444961" "-0.679272874" "-0.682955170" "-0.636955052" "-0.742461580" "-0.829129754"
"WALKING_UPSTAIRS.12" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"LAYING.13" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.13" " 0.27589588" "-0.01765048" "-0.10913529" " 0.70999652" "-0.04208581" " 0.04430105" " 0.07943930" " 0.00387962" "-0.01234859" "-0.05624706" "-0.06166138" " 0.09886606" "-0.08811824" "-0.04408366" "-0.05827187" "-0.53987164" "-0.53987164" "-0.62546694" "-0.58121540" "-0.71274504" "-0.63881791" "-0.49346719" "-0.62973626" "-0.22205665" "-0.03483115" " 0.04872603" "-0.66008217" "-0.60334049" "-0.71083173" "-0.02419618" "-0.23832855" "-0.12060549" "-0.65864242" "-0.64715282" "-0.62047123" "-0.11264547" "-0.08061302" "-0.00505037" "-0.58992811" " 0.08494757" "-0.60729530" " 0.18286125" "-0.65222531" " 0.06258918" "-0.71205437" " 0.15741746" "-0.62484446" "-0.44881610" "-0.58723056" "-0.96726806" "-0.95354072" "-0.93872788" "-0.63888953" "-0.56970055" "-0.72845297" "-0.71510986" "-0.64572861" "-0.64333729" "-0.71577298" "-0.71898859" "-0.71271643" "-0.59723098" "-0.59723098" "-0.61024854" "-0.63636494" "-0.71205619" "-0.62060204" "-0.46258446" "-0.59903690" "-0.64960623" "-0.56212987" "-0.74482354" "-0.73465799" "-0.65062356" "-0.68577448" "-0.66534486" "-0.61707547" "-0.69191516" "-0.73318357"
"STANDING.13" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING.13" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_DOWNSTAIRS.13" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_UPSTAIRS.13" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"LAYING.14" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.14" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"STANDING.14" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING.14" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_DOWNSTAIRS.14" " 0.268742495" "-0.016637130" "-0.099600706" " 0.695710724" "-0.165548428" "-0.255499122" " 0.073163653" " 0.004686802" "-0.001097052" " 0.007797884" "-0.101356257" " 0.048313082" "-0.109826853" "-0.043917784" "-0.041861046" "-0.290927623" "-0.290927623" "-0.487984707" "-0.245124406" "-0.608256768" "-0.503578578" "-0.292774738" "-0.272591150" "-0.348853622" "-0.164564952" "-0.140595246" "-0.547228393" "-0.475602672" "-0.502642373" "-0.205089413" "-0.363010958" "-0.304637150" "-0.611522186" "-0.355248775" "-0.247597876" "-0.260353448" "-0.350029563" "-0.266167267" "-0.339546053" "-0.068196696" "-0.472519023" " 0.084079297" "-0.408328310" "-0.124434956" "-0.632288076" " 0.066522584" "-0.493875901" "-0.190356784" "-0.082978988" "-0.933986523" "-0.934878447" "-0.903959499" "-0.530799953" "-0.459397680" "-0.552000018" "-0.649305014" "-0.216650778" "-0.169366510" "-0.723150614" "-0.605833335" "-0.525451417" "-0.321676688" "-0.321676688" "-0.483221888" "-0.317377464" "-0.645034679" "-0.491090578" "-0.194161741" "-0.059835290" "-0.556172287" "-0.479636522" "-0.601003773" "-0.663938209" "-0.150911739" "-0.225729073" "-0.419458109" "-0.501922234" "-0.377012934" "-0.689381172"
